age,speciality_years,speciality,wing,entry_level,occupation,intervention,ethnicity, sex,hours,country,target
35,13,Opthalmology,N,minor,Dietitian,Propaedeutic, Asian-Pac-Islander, Male,44, United-States,0
50,16,Pediatrics,SW,minor-medium,Patient,Therapeutic, White, Male,49, United-States,1
40,10,Psychiatry,W,minor-medium,Patient,Therapeutic, White, Male,49, United-States,0
39,15,Pulmonary,W,minor-medium,Dietitian,Therapeutic, White, Male,66, United-States,1
30,12,Emergency,W,minor-medium,Patient,Therapeutic, White, Male,44, United-States,1
64,13,Opthalmology,W,minor-medium,Therapist,Therapeutic, White, Male,55, United-States,0
52,10,Psychiatry,W,minor-medium,Patient,Therapeutic, White, Male,44, Italy,1
51,15,Pulmonary,W,minor-medium,Lab,Therapeutic, White, Male,44, United-States,1
39,12,Emergency,W,minor,Patient,Anesthesia, White, Male,66, United-States,0
34,13,Opthalmology,SW,high,Patient,Anesthesia, White, Male,22, United-States,0
19,12,Emergency,W,minor,Medical Assistants,Anesthesia, White, Female,27, United-States,0
41,10,Psychiatry,W,minor-medium,Nurse,Therapeutic, White, Male,71, United-States,1
41,10,Psychiatry,W,minor-medium,Therapist,Therapeutic, White, Male,55, United-States,0
26,10,Psychiatry,W,minor,Techs,Anesthesia, White, Female,44, Mexico,0
50,12,Emergency,W,minor-medium,Medical Assistants,Surgical, White, Female,44, United-States,1
60,7,Nephrology,SE,medium-high,Surgeons,Other, White, Male,44, United-States,0
48,13,Opthalmology,S,minor-medium,Surgeons,Therapeutic, White, Male,44, United-States,1
36,7,Nephrology,W,minor,Nurse,Other, White, Female,49, United-States,0
27,10,Psychiatry,W,minor,Techs,Diagnostic, Black, Female,44, United-States,0
19,8,Orthopedic,W,minor,Patient,Anesthesia, White, Female,22, United-States,0
80,10,Psychiatry,SW,medium-high,Patient,Other, White, Male,26, United-States,0
34,8,Orthopedic,W,minor-medium,Therapist,Anesthesia, Asian-Pac-Islander, Female,44, India,0
55,18,Neurosciences,SW,minor-medium,Dietitian,Therapeutic, White, Male,33, United-States,1
46,14,Gynecology/Urology,W,high,Patient,Diagnostic, White, Female,44, United-States,0
20,15,Pulmonary,W,minor,Dietitian,Anesthesia, White, Female,33, United-States,0
20,12,Emergency,W,minor,Therapist,Anesthesia, White, Male,38, United-States,0
36,14,Gynecology/Urology,W,minor-medium,Therapist,Therapeutic, Other, Male,44, Japan,1
47,12,Emergency,W,high,Medical Assistants,Other, White, Male,52, United-States,0
45,10,Psychiatry,N,minor-medium,Surgeons,Therapeutic, White, Male,44, United-States,1
36,10,Psychiatry,W,minor,Techs,Anesthesia, White, Male,52, United-States,0
46,10,Psychiatry,W,minor-medium,Patient,Therapeutic, White, Male,44, United-States,0
24,10,Psychiatry,W,minor,Patient,Other, White, Male,45, United-States,0
58,12,Emergency,SE,minor-medium,Patient,Therapeutic, White, Male,55, United-States,1
74,15,Pulmonary,W,minor-medium,Therapist,Therapeutic, White, Male,44, United-States,1
51,12,Emergency,W,minor-medium,Dietitian,Therapeutic, White, Male,44, United-States,1
29,10,Psychiatry,W,minor-medium,Medical Assistants,Surgical, White, Female,37, United-States,0
35,14,Gynecology/Urology,NW,minor-medium,Patient,Therapeutic, White, Male,44, United-States,0
53,10,Psychiatry,W,minor-medium,Patient,Therapeutic, White, Male,44, United-States,1
34,15,Pulmonary,NW,minor-medium,Dietitian,Therapeutic, White, Male,60, United-States,1
27,10,Psychiatry,W,minor,Patient,Anesthesia, Black, Male,44, United-States,0
28,12,Emergency,W,minor-medium,Medical Assistants,Therapeutic, White, Male,44, United-States,1
19,8,Orthopedic, ?,minor, ?,Anesthesia, Black, Male,16, United-States,0
68,10,Psychiatry,W,medium-high,Techs,Other, White, Female,26, United-States,0
41,12,Emergency,W,minor-medium,Patient,Propaedeutic, White, Male,55, United-States,1
79,10,Psychiatry,W,high,Techs,Other, White, Female,17, United-States,0
74,10,Psychiatry,S,medium-high,Gift Shop,Other, White, Male,22, United-States,0
58,12,Emergency,SE,high,Patient,Other, White, Male,66, United-States,0
42,15,Pulmonary,W,minor-medium,Lab,Therapeutic, White, Male,55, United-States,0
49,10,Psychiatry,SE,minor-medium,Patient,Therapeutic, White, Male,55, United-States,1
46,15,Pulmonary,W,minor-medium,Dietitian,Therapeutic, White, Male,44, United-States,1
20,10,Psychiatry,W,minor,Therapist,Anesthesia, White, Female,13, United-States,0
58,12,Emergency,SW,minor-medium,Physician,Therapeutic, White, Male,33, United-States,0
53,12,Emergency,SE,high,Patient,Other, White, Male,60, United-States,0
47,15,Pulmonary,W,minor-medium,Patient,Therapeutic, White, Male,44, United-States,1
56,19,Endocrinology,S,minor-medium,Dietitian,Surgical, Black, Female,44, United-States,1
30,13,Opthalmology,W,minor,ER doctors,Anesthesia, White, Female,44, United-States,0
68,15,Pulmonary,SE,high,Therapist,Other, White, Male,44, United-States,1
46,13,Opthalmology,W,minor-medium,Dietitian,Therapeutic, Black, Male,44, United-States,1
22,12,Emergency,SW,minor,Dietitian,Propaedeutic, Asian-Pac-Islander, Female,22, South,0
26,10,Psychiatry,W,minor-medium,Medical Assistants,Surgical, Black, Female,44, United-States,0
42,15,Pulmonary,W,minor,Patient,Other, White, Male,44, United-States,1
45,13,Opthalmology,W,medium,Patient,Other, White, Male,33, United-States,0
36,10,Psychiatry,S,minor-medium,Patient,Therapeutic, White, Male,44, United-States,0
56,10,Psychiatry,W,medium,ER doctors,Diagnostic, White, Female,44, United-States,0
40,10,Psychiatry,W,minor-medium,ER doctors,Therapeutic, White, Male,48, United-States,1
24,10,Psychiatry,W,minor,Nurse,Anesthesia, White, Male,44, United-States,0
26,12,Emergency,W,medium,Dietitian,Anesthesia, White, Male,59, United-States,0
38,15,Pulmonary,W,minor,Lab,Other, Asian-Pac-Islander, Female,44, United-States,0
57,14,Gynecology/Urology,W,medium,Dietitian,Other, White, Female,55, United-States,0
30,15,Pulmonary,W,minor-medium,Patient,Therapeutic, White, Male,44, United-States,0
39,10,Psychiatry,W,minor,Techs,Anesthesia, White, Male,40, United-States,0
28,12,Emergency,W,minor,Therapist,Other, White, Female,44, United-States,0
38,12,Emergency,W,minor,Lab,Diagnostic, White, Female,44, United-States,0
27,8,Orthopedic,W,high,Therapist,Anesthesia, White, Female,44, United-States,0
27,12,Emergency,W,minor-medium,Patient,Therapeutic, White, Male,44, United-States,0
50,18,Neurosciences,W,minor-medium,Dietitian,Therapeutic, Black, Male,44, United-States,1
26,12,Emergency,S,minor,Gift Shop,Other, White, Male,44, United-States,0
50,10,Psychiatry,SE,minor-medium,Patient,Surgical, Amer-Indian-Eskimo, Female,44, United-States,1
20,10,Psychiatry, ?,minor, ?,Anesthesia, White, Female,33, United-States,0
26,10,Psychiatry,W,minor,Cafeteria,Other, White, Female,49, England,0
35,14,Gynecology/Urology,W,minor-medium,Patient,Therapeutic, White, Male,46, United-States,0
56,15,Pulmonary,S,minor-medium,Patient,Therapeutic, White, Male,55, United-States,1
53,9,Gastroenterology,W,minor-medium,Nurse,Therapeutic, White, Male,42, United-States,0
48,15,Pulmonary,W,minor-medium,Therapist,Therapeutic, White, Male,55, United-States,1
41,10,Psychiatry,S,minor-medium,Patient,Therapeutic, White, Male,55, United-States,1
44,16,Pediatrics,W,minor,Therapist,Other, White, Male,55, United-States,1
49,12,Emergency,W,minor-medium,Patient,Therapeutic, White, Male,55, United-States,1
26,15,Pulmonary,W,minor,Lab,Other, White, Male,60, United-States,0
46,15,Pulmonary,W,minor,Dietitian,Other, White, Male,35, United-States,0
56,10,Psychiatry,W,minor-medium,Patient,Therapeutic, White, Male,44, United-States,0
35,12,Emergency,N,minor,Patient,Other, White, Male,44, United-States,0
63,10,Psychiatry,W,minor-medium,Nurse,Therapeutic, White, Male,44, United-States,0
41,14,Gynecology/Urology,W,minor-medium,Lab,Therapeutic, White, Male,44, United-States,1
40,15,Pulmonary,NW,minor-medium,Dietitian,Therapeutic, White, Male,60, United-States,1
37,18,Neurosciences,W,minor-medium,Dietitian,Therapeutic, White, Male,60, United-States,1
46,10,Psychiatry,W,high,Patient,Other, White, Female,44, United-States,1
48,12,Emergency,S,minor-medium,Patient,Therapeutic, White, Male,44, United-States,1
28,15,Pulmonary,NW,minor,Patient,Other, White, Female,38, United-States,0
51,18,Neurosciences,SE,minor-medium,Dietitian,Therapeutic, White, Male,49, United-States,1
42,14,Gynecology/Urology,NW,high,Dietitian,Other, White, Female,44, United-States,0
26,14,Gynecology/Urology,NW,minor-medium,Gift Shop,Therapeutic, White, Male,55, United-States,0
38,12,Emergency,NW,high,Medical Assistants,Diagnostic, Black, Female,44, United-States,0
61,15,Pulmonary,W,minor-medium,Dietitian,Therapeutic, White, Male,44, United-States,1
45,15,Pulmonary,NW,minor-medium,Medical Assistants,Therapeutic, White, Male,55, United-States,1
49,16,Pediatrics,W,minor-medium,Techs,Therapeutic, White, Male,44, United-States,0
51,15,Pulmonary,W,minor-medium,Medical Assistants,Therapeutic, White, Male,44, United-States,1
46,13,Opthalmology,SW,minor-medium,Patient,Therapeutic, Asian-Pac-Islander, Male,44, United-States,0
55,19,Endocrinology,W,minor-medium,Dietitian,Therapeutic, White, Male,55, United-States,1
44,15,Pulmonary,W,minor,Medical Assistants,Other, White, Female,44, United-States,0
33,10,Psychiatry,W,minor,Therapist,Diagnostic, White, Female,38, Mexico,0
40,12,Emergency,N,minor-medium,Medical Assistants,Therapeutic, White, Male,44, Philippines,1
51,12,Emergency,W,minor-medium,Therapist,Therapeutic, White, Male,71, United-States,1
63,10,Psychiatry,W,high,Medical Assistants,Other, White, Female,44, United-States,0
27,8,Orthopedic,W,minor,Patient,Anesthesia, White, Male,44, United-States,0
39,10,Psychiatry,W,medium,Medical Assistants,Diagnostic, Black, Female,44, United-States,0
92,3,Anaesthesiology, ?,medium-high, ?,Other, White, Male,16, United-States,0
24,10,Psychiatry,W,minor,Medical Assistants,Diagnostic, White, Female,44, United-States,0
57,10,Psychiatry,W,high,Surgeons,Other, White, Male,49, United-States,0
58,10,Psychiatry,W,minor-medium,Surgeons,Therapeutic, White, Male,44, United-States,1
46,15,Pulmonary,W,minor,Therapist,Diagnostic, White, Male,44, United-States,0
56,19,Endocrinology,W,minor-medium,Dietitian,Therapeutic, White, Male,66, Iran,1
28,13,Opthalmology,W,high,Dietitian,Diagnostic, White, Female,39, United-States,0
25,12,Emergency,W,medium,Patient,Anesthesia, White, Male,44, United-States,0
69,12,Emergency,S,high,Patient,Other, White, Female,38, United-States,0
45,16,Pediatrics,W,minor,Dietitian,Other, White, Female,38, United-States,1
56,10,Psychiatry,W,minor-medium,Patient,Therapeutic, White, Male,44, United-States,0
40,10,Psychiatry,W,minor-medium,Nurse,Therapeutic, Black, Male,44, United-States,0
62,10,Psychiatry,W,minor-medium,Therapist,Therapeutic, White, Male,44, United-States,0
48,12,Emergency,W,minor-medium,Lab,Therapeutic, White, Male,19, United-States,1
39,10,Psychiatry,SW,minor-medium,Patient,Therapeutic, White, Male,44, United-States,0
53,15,Pulmonary,W,minor-medium,Medical Assistants,Therapeutic, White, Male,44, United-States,1
25,7,Nephrology,W,minor-medium,Techs,Therapeutic, White, Male,44, ?,0
53,16,Pediatrics,W,minor-medium,Dietitian,Therapeutic, White, Male,55, United-States,1
72,10,Psychiatry,SW,minor-medium,Physician,Therapeutic, White, Male,55, United-States,0
41,7,Nephrology,SW,minor-medium,Therapist,Therapeutic, White, Male,44, United-States,1
39,10,Psychiatry,W,minor-medium,Nurse,Therapeutic, White, Male,41, United-States,0
53,12,Emergency,S,minor,Techs,Diagnostic, White, Female,33, United-States,0
67,10,Psychiatry,W,minor-medium,Surgeons,Therapeutic, White, Male,44, United-States,1
19,8,Orthopedic, ?,minor, ?,Anesthesia, White, Male,27, United-States,0
48,18,Neurosciences,W,minor-medium,Dietitian,Therapeutic, White, Male,55, United-States,1
22,12,Emergency,W,minor,Dietitian,Anesthesia, White, Female,16, United-States,0
66,12,Emergency,W,medium-high,Gift Shop,Other, Black, Female,44, United-States,0
40,18,Neurosciences,SW,minor-medium,Dietitian,Therapeutic, White, Male,55, United-States,1
68,9,Gastroenterology,SW,minor-medium,Patient,Therapeutic, White, Male,44, United-States,1
41,13,Opthalmology,W,medium,Lab,Diagnostic, White, Female,22, United-States,0
52,12,Emergency,W,minor,Patient,Diagnostic, White, Female,41, United-States,1
40,16,Pediatrics,W,high,Patient,Other, White, Male,49, United-States,1
57,10,Psychiatry,W,minor-medium,Patient,Therapeutic, White, Male,60, United-States,1
63,10,Psychiatry,SE,minor-medium,Patient,Therapeutic, White, Male,49, United-States,0
33,12,Emergency,W,minor,Patient,Propaedeutic, White, Male,60, Ecuador,0
56,15,Pulmonary,SE,minor-medium,Gift Shop,Therapeutic, Black, Male,44, United-States,1
40,15,Pulmonary,W,minor-medium,Patient,Therapeutic, White, Male,66, United-States,1
40,13,Opthalmology,W,minor-medium,Patient,Therapeutic, White, Male,49, United-States,1
31,16,Pediatrics,W,minor,Patient,Other, Asian-Pac-Islander, Male,66, United-States,0
44,15,Pulmonary,S,minor-medium,Dietitian,Therapeutic, White, Male,44, United-States,1
25,4,Oncology, ?,minor, ?,Other, White, Female,44, Mexico,0
53,10,Psychiatry,W,minor-medium,Patient,Therapeutic, White, Male,44, United-States,1
34,14,Gynecology/Urology,W,minor,Patient,Anesthesia, Other, Male,55, United-States,0
61,10,Psychiatry, ?,high, ?,Other, White, Male,44, United-States,0
38,13,Opthalmology,W,high,Dietitian,Diagnostic, White, Female,44, United-States,0
37,7,Nephrology,W,minor,Techs,Diagnostic, Black, Female,44, Jamaica,0
64,15,Pulmonary,SW,minor-medium,Therapist,Therapeutic, White, Male,44, United-States,1
28,15,Pulmonary,NW,minor,Dietitian,Anesthesia, White, Male,44, United-States,0
23,12,Emergency,W,minor,Therapist,Anesthesia, White, Female,16, United-States,0
62,10,Psychiatry,W,minor-medium,Therapist,Therapeutic, White, Male,44, United-States,1
25,12,Emergency,W,minor,Therapist,Other, White, Male,33, United-States,0
47,7,Nephrology,SW,high,Physician,Diagnostic, White, Male,27, United-States,0
45,4,Oncology,W,minor-medium,Patient,Therapeutic, White, Male,66, United-States,0
41,10,Psychiatry,W,minor,Patient,Other, White, Male,39, United-States,0
27,10,Psychiatry,W,high,Techs,Other, White, Male,44, Mexico,0
66,15,Pulmonary, ?,minor-medium, ?,Diagnostic, Black, Female,16, United-States,0
25,12,Emergency,W,minor,Therapist,Other, White, Male,44, United-States,0
55,14,Gynecology/Urology,W,minor-medium,Patient,Therapeutic, White, Male,44, United-States,1
63,10,Psychiatry,SE,minor-medium,Therapist,Surgical, White, Female,38, United-States,1
25,10,Psychiatry,W,minor,Techs,Diagnostic, White, Male,38, Mexico,0
37,10,Psychiatry,S,minor-medium,Gift Shop,Therapeutic, White, Male,44, United-States,0
57,15,Pulmonary,W,minor-medium,Techs,Other, White, Male,55, United-States,0
63,15,Pulmonary,SW,minor,Physician,Anesthesia, White, Male,79, United-States,0
44,10,Psychiatry,W,high,Patient,Other, Asian-Pac-Islander, Female,44, Japan,0
39,3,Anaesthesiology,W,medium,Cafeteria,Diagnostic, Other, Female,38, Mexico,0
22,12,Emergency,W,minor,Surgeons,Anesthesia, White, Male,44, United-States,0
53,19,Endocrinology,SW,minor-medium,Dietitian,Surgical, White, Female,38, United-States,1
58,10,Psychiatry,W,minor-medium,Nurse,Therapeutic, White, Male,44, United-States,0
60,8,Orthopedic,W,minor-medium,Techs,Therapeutic, Black, Male,44, United-States,0
55,12,Emergency,W,minor-medium,Patient,Therapeutic, White, Male,44, United-States,1
38,14,Gynecology/Urology,W,high,Techs,Diagnostic, White, Female,55, United-States,0
62,10,Psychiatry,S,medium-high,Techs,Diagnostic, White, Female,33, United-States,0
51,15,Pulmonary,W,minor-medium,Patient,Therapeutic, White, Male,49, United-States,1
33,16,Pediatrics,NW,minor-medium,Dietitian,Surgical, White, Female,55, United-States,1
31,16,Pediatrics,W,minor,Dietitian,Other, White, Female,55, United-States,0
41,13,Opthalmology,W,minor-medium,Therapist,Therapeutic, White, Male,44, United-States,1
36,10,Psychiatry,NW,minor-medium,Patient,Therapeutic, White, Male,44, United-States,1
46,12,Emergency,W,minor-medium,Lab,Therapeutic, White, Male,55, United-States,1
49,10,Psychiatry,W,minor-medium,Patient,Therapeutic, White, Male,55, United-States,0
47,18,Neurosciences,SE,minor-medium,Dietitian,Therapeutic, Black, Male,108, United-States,1
48,13,Opthalmology,W,medium,Dietitian,Other, White, Female,44, Dominican-Republic,0
46,18,Neurosciences,W,high,Dietitian,Other, White, Female,42, United-States,1
49,15,Pulmonary,SW,minor-medium,Patient,Therapeutic, Asian-Pac-Islander, Male,49, China,1
51,16,Pediatrics,S,minor-medium,Dietitian,Therapeutic, White, Male,38, United-States,1
51,10,Psychiatry,NW,minor-medium,Medical Assistants,Surgical, White, Female,44, United-States,1
61,18,Neurosciences,S,minor-medium,Medical Assistants,Therapeutic, Asian-Pac-Islander, Male,44, Philippines,1
36,3,Anaesthesiology,W,minor-medium,Techs,Therapeutic, White, Male,64, Mexico,0
41,10,Psychiatry,W,high,Nurse,Anesthesia, White, Male,44, United-States,0
50,13,Opthalmology,W,high,Medical Assistants,Other, White, Female,44, United-States,0
36,15,Pulmonary,W,minor,Dietitian,Other, White, Female,44, United-States,0
36,12,Emergency,W,minor,Patient,Other, Black, Male,44, United-States,1
22,12,Emergency,W,minor,Nurse,Propaedeutic, Asian-Pac-Islander, Male,44, Vietnam,0
50,12,Emergency,W,minor-medium,Therapist,Therapeutic, White, Male,55, United-States,0
64,15,Pulmonary,W,minor-medium,Dietitian,Therapeutic, White, Male,47, United-States,1
37,9,Gastroenterology, ?,medium, ?,Diagnostic, Black, Female,44, United-States,0
55,16,Pediatrics,W,high,Therapist,Other, White, Female,55, United-States,1
50,18,Neurosciences,W,high,Dietitian,Other, White, Male,44, United-States,1
49,6,Radiology,W,minor-medium,Surgeons,Therapeutic, White, Male,44, United-States,0
30,15,Pulmonary,W,minor-medium,Therapist,Therapeutic, White, Male,66, United-States,1
41,13,Opthalmology,S,minor-medium,Patient,Therapeutic, White, Male,44, United-States,0
39,10,Psychiatry,W,minor-medium,Patient,Therapeutic, White, Male,49, United-States,1
47,14,Gynecology/Urology,N,minor-medium,Dietitian,Surgical, Black, Female,44, United-States,0
46,10,Psychiatry,W,minor-medium,Patient,Therapeutic, White, Male,55, United-States,1
51,15,Pulmonary,W,minor-medium,Patient,Therapeutic, White, Male,48, United-States,1
46,16,Pediatrics,W,minor-medium,Dietitian,Therapeutic, Asian-Pac-Islander, Male,60, India,1
38,16,Pediatrics,S,minor,Dietitian,Other, White, Male,66, United-States,1
52,10,Psychiatry,NW,minor-medium,Medical Assistants,Therapeutic, White, Male,38, United-States,1
55,16,Pediatrics,NW,minor,Dietitian,Other, White, Male,41, United-States,0
33,13,Opthalmology,S,high,Gift Shop,Diagnostic, Amer-Indian-Eskimo, Female,44, United-States,0
49,10,Psychiatry,W,high,Medical Assistants,Other, White, Female,30, United-States,0
19,8,Orthopedic,W,minor,ER doctors,Anesthesia, White, Male,44, United-States,0
56,10,Psychiatry, ?,minor-medium, ?,Therapeutic, White, Male,44, United-States,1
51,10,Psychiatry,W,minor,Medical Assistants,Propaedeutic, White, Female,44, United-States,0
52,14,Gynecology/Urology,W,minor-medium,Dietitian,Therapeutic, White, Male,49, United-States,0
41,10,Psychiatry,W,minor-medium,Patient,Therapeutic, White, Male,44, United-States,0
88,4,Oncology,SW,minor-medium,Physician,Therapeutic, White, Male,33, United-States,0
60,10,Psychiatry,W,high,Medical Assistants,Other, White, Female,44, United-States,0
36,9,Gastroenterology,W,high,Patient,Other, White, Male,46, United-States,0
58,15,Pulmonary,S,minor-medium,Dietitian,Surgical, White, Female,66, United-States,1
48,10,Psychiatry,W,minor-medium,Therapist,Therapeutic, White, Male,26, United-States,0
19,12,Emergency,W,minor,Techs,Anesthesia, White, Male,16, United-States,0
37,6,Radiology,W,medium,Patient,Other, White, Male,44, ?,0
67,10,Psychiatry,W,medium-high,Patient,Other, White, Female,44, United-States,0
67,10,Psychiatry,W,minor-medium,Patient,Therapeutic, White, Male,49, United-States,1
33,12,Emergency,NW,minor,Medical Assistants,Other, White, Female,40, United-States,0
52,12,Emergency,NW,high,Techs,Anesthesia, White, Male,44, United-States,0
39,10,Psychiatry,NW,minor-medium,Patient,Therapeutic, White, Male,66, United-States,1
45,10,Psychiatry,W,medium,Techs,Diagnostic, Black, Female,22, United-States,0
47,16,Pediatrics,W,minor-medium,Patient,Therapeutic, White, Male,47, United-States,1
22,12,Emergency,W,minor,Therapist,Other, White, Female,38, United-States,0
73,4,Oncology,S,medium-high,Techs,Other, White, Female,22, United-States,0
39,12,Emergency,W,high,Medical Assistants,Diagnostic, White, Female,44, United-States,0
26,12,Emergency,W,minor,Techs,Other, White, Male,44, United-States,0
55,10,Psychiatry,W,minor-medium,Patient,Therapeutic, White, Male,44, United-States,0
50,16,Pediatrics,N,minor,Dietitian,Other, White, Female,44, United-States,0
51,10,Psychiatry,W,high,Therapist,Other, White, Male,55, United-States,0
66,4,Oncology,W,high,Techs,Other, White, Female,44, United-States,0
80,10,Psychiatry, ?,medium-high, ?,Other, White, Female,71, United-States,0
30,10,Psychiatry,W,minor-medium,Surgeons,Therapeutic, White, Male,66, United-States,0
30,12,Emergency,W,minor-medium,Nurse,Therapeutic, White, Male,44, United-States,1
37,10,Psychiatry,W,minor,Nurse,Diagnostic, Black, Male,44, United-States,0
56,10,Psychiatry,W,minor,ER doctors,Anesthesia, White, Female,44, United-States,0
47,15,Pulmonary,W,minor-medium,Nurse,Therapeutic, White, Male,44, United-States,1
22,12,Emergency, ?,minor, ?,Anesthesia, White, Male,22, United-States,0
34,12,Emergency,W,minor,Techs,Other, White, Female,44, United-States,0
26,15,Pulmonary,W,minor,Patient,Anesthesia, White, Male,52, United-States,0
31,15,Pulmonary,W,minor,Patient,Diagnostic, Black, Female,44, United-States,0
50,16,Pediatrics,W,minor-medium,Dietitian,Therapeutic, White, Male,50, United-States,1
34,15,Pulmonary,W,high,Patient,Diagnostic, White, Female,44, United-States,0
42,12,Emergency,N,minor-medium,ER doctors,Therapeutic, White, Male,66, United-States,1
37,12,Emergency,W,medium,Patient,Other, White, Male,49, United-States,0
33,10,Psychiatry,W,minor,Techs,Other, White, Male,44, United-States,0
40,13,Opthalmology,S,minor-medium,Gift Shop,Therapeutic, Black, Male,44, United-States,0
29,10,Psychiatry,SW,minor-medium,Physician,Therapeutic, White, Male,77, United-States,0
34,12,Emergency,W,high,Techs,Other, White, Female,16, United-States,0
57,10,Psychiatry,W,minor-medium,Nurse,Therapeutic, White, Male,44, United-States,1
40,13,Opthalmology,W,minor-medium,Dietitian,Surgical, White, Female,38, United-States,1
23,12,Emergency,W,minor,Techs,Diagnostic, White, Female,38, United-States,0
49,10,Psychiatry,W,medium-high,Nurse,Diagnostic, Other, Male,44, Columbia,0
57,10,Psychiatry,W,minor-medium,ER doctors,Therapeutic, Asian-Pac-Islander, Male,8, Philippines,0
50,8,Orthopedic,W,minor-medium,Patient,Therapeutic, White, Male,44, United-States,1
33,10,Psychiatry,SW,minor-medium,Physician,Therapeutic, White, Male,93, United-States,0
20,12,Emergency,W,minor,Lab,Other, White, Female,27, United-States,0
58,10,Psychiatry,W,minor-medium,Patient,Therapeutic, White, Male,44, United-States,1
36,19,Endocrinology,SW,minor,Dietitian,Other, White, Male,49, United-States,1
64,19,Endocrinology,NW,high,Dietitian,Diagnostic, White, Male,49, United-States,1
48,15,Pulmonary,W,minor-medium,Surgeons,Therapeutic, White, Male,60, United-States,0
40,13,Opthalmology,W,minor-medium,Patient,Therapeutic, White, Male,44, United-States,1
31,12,Emergency,N,minor-medium,Medical Assistants,Anesthesia, White, Female,44, United-States,0
38,10,Psychiatry,SE,minor-medium,Therapist,Therapeutic, White, Male,71, United-States,1
40,15,Pulmonary,W,minor-medium,Dietitian,Therapeutic, White, Male,55, United-States,1
29,6,Radiology,W,minor-medium,Gift Shop,Therapeutic, White, Male,44, Guatemala,0
50,15,Pulmonary,W,minor-medium,Dietitian,Therapeutic, White, Male,49, United-States,1
26,10,Psychiatry,SW,medium,Techs,Diagnostic, White, Female,55, United-States,0
52,18,Neurosciences,W,minor-medium,Dietitian,Therapeutic, White, Male,49, United-States,1
41,14,Gynecology/Urology,SE,high,Patient,Diagnostic, White, Male,49, United-States,0
25,12,Emergency,W,minor-medium,Patient,Therapeutic, White, Male,44, United-States,0
37,15,Pulmonary,W,minor-medium,Dietitian,Therapeutic, White, Male,44, United-States,1
36,15,Pulmonary,W,minor-medium,Therapist,Therapeutic, White, Male,55, United-States,1
57,19,Endocrinology,W,minor-medium,Dietitian,Therapeutic, White, Male,71, United-States,1
59,15,Pulmonary,S,minor-medium,Patient,Therapeutic, White, Male,44, United-States,0
20,12,Emergency,S,minor,Therapist,Anesthesia, White, Female,17, United-States,0
55,15,Pulmonary,W,medium,Therapist,Other, White, Male,44, United-States,1
35,10,Psychiatry,W,minor-medium,Patient,Therapeutic, White, Male,44, Germany,0
44,10,Psychiatry,W,minor,Techs,Anesthesia, White, Male,27, United-States,0
23,10,Psychiatry,W,minor,Nurse,Anesthesia, Black, Male,1, United-States,0
